"community"	"id_top"	"topic"	"year"	"activity"
"106"	"t1_s5"	"2nd line regimens"	"2008"	"276"
"106"	"t3"	"Diagnostics"	"2000"	"174"
"106"	"t3"	"Diagnostics"	"2002"	"243"
"106"	"t3"	"Diagnostics"	"2003"	"216"
"106"	"t3"	"Diagnostics"	"2005"	"252"
"106"	"t3"	"Diagnostics"	"2006"	"367"
"106"	"t3"	"Diagnostics"	"2007"	"416"
"106"	"t3"	"Diagnostics"	"2008"	"98"
"106"	"t3"	"Diagnostics"	"2010"	"168"
"106"	"t3"	"Diagnostics"	"2011"	"643"
"106"	"t3"	"Diagnostics"	"2012"	"627"
"106"	"t3"	"Diagnostics"	"2013"	"243"
"106"	"t3"	"Diagnostics"	"2014"	"439"
"106"	"t3"	"Diagnostics"	"2015"	"175"
"106"	"t3"	"Diagnostics"	"2016"	"836"
"106"	"t3"	"Diagnostics"	"2017"	"116"
"106"	"t1"	"Drug-related research"	"2001"	"122"
"106"	"t1"	"Drug-related research"	"2008"	"292"
"106"	"t1"	"Drug-related research"	"2009"	"396"
"106"	"t1"	"Drug-related research"	"2010"	"228"
"106"	"t1"	"Drug-related research"	"2014"	"171"
"106"	"t1"	"Drug-related research"	"2015"	"134"
"106"	"t1"	"Drug-related research"	"2016"	"340"
"106"	"t1"	"Drug-related research"	"2017"	"64"
"106"	"t0"	"Molecular typing"	"2010"	"126"
"106"	"t0"	"Molecular typing"	"2013"	"183"
"106"	"t2"	"Operational research"	"2000"	"260"
"106"	"t2"	"Operational research"	"2005"	"79"
"106"	"t2"	"Operational research"	"2007"	"71"
"106"	"t2"	"Operational research"	"2011"	"73"
"106"	"t2"	"Operational research"	"2013"	"124"
"106"	"t1_s0"	"Resistance genes"	"2009"	"296"
"106"	"t5_s5"	"Resistance prevalence"	"2003"	"73"
"106"	"t5_s5"	"Resistance prevalence"	"2011"	"98"
"106"	"t5_s5"	"Resistance prevalence"	"2013"	"130"
"106"	"t5_s5"	"Resistance prevalence"	"2015"	"144"
"106"	"t5_s3"	"Risk factors"	"2013"	"83"
"106"	"t5"	"Treatment optimization"	"1996"	"81"
"106"	"t5"	"Treatment optimization"	"2001"	"288"
"106"	"t5"	"Treatment optimization"	"2003"	"167"
"106"	"t5"	"Treatment optimization"	"2004"	"234"
"106"	"t5"	"Treatment optimization"	"2005"	"59"
"106"	"t5"	"Treatment optimization"	"2006"	"396"
"106"	"t5"	"Treatment optimization"	"2007"	"268"
"106"	"t5"	"Treatment optimization"	"2008"	"268"
"106"	"t5"	"Treatment optimization"	"2009"	"340"
"106"	"t5"	"Treatment optimization"	"2010"	"277"
"106"	"t5"	"Treatment optimization"	"2011"	"159"
"106"	"t5"	"Treatment optimization"	"2012"	"343"
"106"	"t5"	"Treatment optimization"	"2013"	"384"
"106"	"t5"	"Treatment optimization"	"2014"	"383"
"106"	"t5"	"Treatment optimization"	"2015"	"415"
"106"	"t5"	"Treatment optimization"	"2016"	"404"
"106"	"t5"	"Treatment optimization"	"2017"	"86"
"106"	"t5_s2"	"Treatment regimens"	"2003"	"81"
"106"	"t5_s2"	"Treatment regimens"	"2009"	"272"
"106"	"t5_s2"	"Treatment regimens"	"2017"	"73"
"12"	"t1_s5"	"2nd line regimens"	"2011"	"67"
"12"	"t3"	"Diagnostics"	"2005"	"279"
"12"	"t3"	"Diagnostics"	"2011"	"93"
"12"	"t3"	"Diagnostics"	"2012"	"334"
"12"	"t3"	"Diagnostics"	"2013"	"396"
"12"	"t3"	"Diagnostics"	"2016"	"155"
"12"	"t3"	"Diagnostics"	"2017"	"56"
"12"	"t1"	"Drug-related research"	"2001"	"132"
"12"	"t1"	"Drug-related research"	"2011"	"81"
"12"	"t1"	"Drug-related research"	"2013"	"99"
"12"	"t1"	"Drug-related research"	"2015"	"223"
"12"	"t1"	"Drug-related research"	"2016"	"97"
"12"	"t1"	"Drug-related research"	"2017"	"234"
"12"	"t6"	"Immunology"	"2013"	"112"
"12"	"t2"	"Operational research"	"1998"	"434"
"12"	"t2"	"Operational research"	"1999"	"434"
"12"	"t2"	"Operational research"	"2000"	"360"
"12"	"t2"	"Operational research"	"2002"	"174"
"12"	"t2"	"Operational research"	"2004"	"83"
"12"	"t2"	"Operational research"	"2006"	"497"
"12"	"t2"	"Operational research"	"2007"	"513"
"12"	"t2"	"Operational research"	"2008"	"891"
"12"	"t2"	"Operational research"	"2010"	"455"
"12"	"t2"	"Operational research"	"2012"	"568"
"12"	"t2"	"Operational research"	"2013"	"499"
"12"	"t2"	"Operational research"	"2015"	"65"
"12"	"t2"	"Operational research"	"2016"	"310"
"12"	"t2"	"Operational research"	"2017"	"444"
"12"	"t1_s0"	"Resistance genes"	"2013"	"56"
"12"	"t1_s0"	"Resistance genes"	"2015"	"94"
