id_top,topic,keyword,number,normal
t0,Molecular typing,m. tb,34,100
t0,Molecular typing,mdr-tb,34,100
t0,Molecular typing,tb,26,76
t0,Molecular typing,spoligotyping,19,55
t0,Molecular typing,multidrug-resistant,14,41
t0,Molecular typing,miru-vntr,11,32
t0,Molecular typing,drug-resistance,10,29
t0,Molecular typing,xdr-tb,9,26
t0,Molecular typing,molecular epidemiology,7,20
t0,Molecular typing,pyrazinamide,7,20
t0,Molecular typing,beijing genotype,6,17
t0,Molecular typing,genotyping,6,17
t0,Molecular typing,transmission,5,14
t0,Molecular typing,pnca,5,14
t0,Molecular typing,is6110-rflp,4,11
t0,Molecular typing,outbreak,4,11
t0,Molecular typing,rpob,4,11
t0,Molecular typing,brazil,3,8
t0,Molecular typing,bedaquiline,3,8
t0,Molecular typing,dot,3,8
t1,Drug-related research,mdr-tb,197,100
t1,Drug-related research,m. tb,180,91
t1,Drug-related research,tb,166,84
t1,Drug-related research,drug-resistance,67,34
t1,Drug-related research,xdr-tb,54,27
t1,Drug-related research,multidrug-resistant,54,27
t1,Drug-related research,antimycobacterial,43,21
t1,Drug-related research,activity,41,20
t1,Drug-related research,anti-tb,39,19
t1,Drug-related research,rifampicin,30,15
t1,Drug-related research,rpob,30,15
t1,Drug-related research,resistance,30,15
t1,Drug-related research,isoniazid,28,14
t1,Drug-related research,drugs,24,12
t1,Drug-related research,fluoroquinolones,15,7
t1,Drug-related research,pyrazinamide,14,7
t1,Drug-related research,mutations,14,7
t1,Drug-related research,second-line drugs,13,6
t1,Drug-related research,rifampicin resistance,13,6
t1,Drug-related research,gene,13,6
t2,Operational research,mdr-tb,153,100
t2,Operational research,tb,145,94
t2,Operational research,xdr-tb,52,33
t2,Operational research,drug-resistance,40,26
t2,Operational research,multidrug-resistant,33,21
t2,Operational research,epidemiology,26,16
t2,Operational research,m. tb,24,15
t2,Operational research,treatment,24,15
t2,Operational research,drugs,19,12
t2,Operational research,drug-resistant tb,19,12
t2,Operational research,hiv,17,11
t2,Operational research,children,15,9
t2,Operational research,surveillance,12,7
t2,Operational research,disease,11,7
t2,Operational research,infection control,10,6
t2,Operational research,transmission,10,6
t2,Operational research,diagnosis,9,5
t2,Operational research,south-africa,8,5
t2,Operational research,health-care workers,8,5
t2,Operational research,public health,7,4
t3,Diagnostics,mdr-tb,88,100
t3,Diagnostics,tb,86,97
t3,Diagnostics,m. tb,52,59
t3,Diagnostics,drug-resistance,29,32
t3,Diagnostics,rifampicin,27,30
t3,Diagnostics,xpert mtb/rif,27,30
t3,Diagnostics,multidrug-resistant,26,29
t3,Diagnostics,genotype mtbdrplus,18,20
t3,Diagnostics,dst,18,20
t3,Diagnostics,isoniazid,18,20
t3,Diagnostics,xdr-tb,16,18
t3,Diagnostics,line probe assay,16,18
t3,Diagnostics,diagnosis,16,18
t3,Diagnostics,rifampicin resistance,16,18
t3,Diagnostics,resistance,12,13
t3,Diagnostics,rpob,12,13
t3,Diagnostics,molecular diagnosis,9,10
t3,Diagnostics,mods,8,9
t3,Diagnostics,drug-resistant tb,8,9
t3,Diagnostics,pulmonary tb,6,6
t5,Treatment optimization,tb,343,100
t5,Treatment optimization,mdr-tb,343,100
t5,Treatment optimization,drug-resistance,117,34
t5,Treatment optimization,multidrug-resistant,113,32
t5,Treatment optimization,xdr-tb,65,18
t5,Treatment optimization,hiv,56,16
t5,Treatment optimization,treatment outcomes,55,16
t5,Treatment optimization,m. tb,54,15
t5,Treatment optimization,treatment,43,12
t5,Treatment optimization,drug-resistant tb,37,10
t5,Treatment optimization,risk-factors,33,9
t5,Treatment optimization,epidemiology,28,8
t5,Treatment optimization,outcomes,26,7
t5,Treatment optimization,resistance,23,6
t5,Treatment optimization,drugs,22,6
t5,Treatment optimization,pulmonary tb,21,6
t5,Treatment optimization,dst,21,6
t5,Treatment optimization,south-africa,18,5
t5,Treatment optimization,linezolid,17,4
t5,Treatment optimization,second-line drugs,15,4
t6,Immunology,mdr-tb,32,100
t6,Immunology,tb,27,84
t6,Immunology,m. tb,13,40
t6,Immunology,multidrug-resistant,7,21
t6,Immunology,interferon-gamma,6,18
t6,Immunology,cytokines,5,15
t6,Immunology,antibiotic,4,12
t6,Immunology,drugs,4,12
t6,Immunology,immunotherapy,4,12
t6,Immunology,spray drying,4,12
t6,Immunology,t cells,3,9
t6,Immunology,il-12,3,9
t6,Immunology,biomarkers,3,9
t6,Immunology,tumor necrosis factor-alpha,3,9
t6,Immunology,ethionamide,3,9
t6,Immunology,ifn-gamma,3,9
t6,Immunology,il-10,3,9
t6,Immunology,tnf-alpha,3,9
t6,Immunology,delivery,3,9
t6,Immunology,fluoroquinolones,2,6
t1_s0,Resistance genes,m. tb,34,100
t1_s0,Resistance genes,mdr-tb,20,58
t1_s0,Resistance genes,tb,16,47
t1_s0,Resistance genes,drug-resistance,15,44
t1_s0,Resistance genes,rpob,13,38
t1_s0,Resistance genes,katg,8,23
t1_s0,Resistance genes,resistance,8,23
t1_s0,Resistance genes,rifampicin,7,20
t1_s0,Resistance genes,multidrug-resistant,6,17
t1_s0,Resistance genes,xdr-tb,5,14
t1_s0,Resistance genes,isoniazid,4,11
t1_s0,Resistance genes,rifampicin resistance,4,11
t1_s0,Resistance genes,mutations,4,11
t1_s0,Resistance genes,gene,4,11
t1_s0,Resistance genes,second-line drugs,3,8
t1_s0,Resistance genes,inha,3,8
t1_s0,Resistance genes,drugs,3,8
t1_s0,Resistance genes,novel mutation,3,8
t1_s0,Resistance genes,docking,3,8
t1_s0,Resistance genes,aminoglycosides,3,8
t1_s2,Plant extracts,antimycobacterial,12,100
t1_s2,Plant extracts,mdr-tb,11,91
t1_s2,Plant extracts,m. tb,10,83
t1_s2,Plant extracts,tb,7,58
t1_s2,Plant extracts,activity,7,58
t1_s2,Plant extracts,anti-tb,3,25
t1_s2,Plant extracts,docking,3,25
t1_s2,Plant extracts,multidrug-resistant,3,25
t1_s2,Plant extracts,molecular docking,3,25
t1_s2,Plant extracts,antibacterial activity,2,16
t1_s2,Plant extracts,sensitive tb,2,16
t1_s2,Plant extracts,molecular modeling,2,16
t1_s2,Plant extracts,mexican medicinal plants,2,16
t1_s2,Plant extracts,pharmacophore,2,16
t1_s2,Plant extracts,mass-spectrometry,2,16
t1_s2,Plant extracts,pyrazolines,2,16
t1_s2,Plant extracts,benzoxazole,2,16
t1_s2,Plant extracts,proteomics,2,16
t1_s2,Plant extracts,interaction energy,2,16
t1_s2,Plant extracts,fel,1,8
t1_s5,2nd line regimens,m. tb,27,100
t1_s5,2nd line regimens,tb,19,70
t1_s5,2nd line regimens,mdr-tb,18,66
t1_s5,2nd line regimens,resistance,8,29
t1_s5,2nd line regimens,drug-resistance,6,22
t1_s5,2nd line regimens,multidrug-resistant,6,22
t1_s5,2nd line regimens,xdr-tb,6,22
t1_s5,2nd line regimens,drugs,5,18
t1_s5,2nd line regimens,fluoroquinolones,4,14
t1_s5,2nd line regimens,linezolid,4,14
t1_s5,2nd line regimens,efflux pump,4,14
t1_s5,2nd line regimens,second-line drugs,3,11
t1_s5,2nd line regimens,rifampicin,3,11
t1_s5,2nd line regimens,mycobacteria,3,11
t1_s5,2nd line regimens,anti-tb,3,11
t1_s5,2nd line regimens,inhibitors,3,11
t1_s5,2nd line regimens,moxifloxacin,3,11
t1_s5,2nd line regimens,synergy,3,11
t1_s5,2nd line regimens,proteomics,3,11
t1_s5,2nd line regimens,lc-ms/ms,2,7
t1_s6,New compounds,activity,33,100
t1_s6,New compounds,anti-tb,32,96
t1_s6,New compounds,antimycobacterial,30,90
t1_s6,New compounds,m. tb,29,87
t1_s6,New compounds,mdr-tb,28,84
t1_s6,New compounds,tb,26,78
t1_s6,New compounds,antitubercular agents,6,18
t1_s6,New compounds,xdr-tb,5,15
t1_s6,New compounds,pharmacophore,4,12
t1_s6,New compounds,pyrazolines,4,12
t1_s6,New compounds,"1,3-dipolar cycloaddition",4,12
t1_s6,New compounds,molecular docking,4,12
t1_s6,New compounds,structure-activity relationship,4,12
t1_s6,New compounds,drug-resistance,3,9
t1_s6,New compounds,dna gyrase,3,9
t1_s6,New compounds,azomethine ylide,3,9
t1_s6,New compounds,isatin,3,9
t1_s6,New compounds,h37rv,3,9
t1_s6,New compounds,isoniazid,3,9
t1_s6,New compounds,drugs,3,9
t5_s2,Treatment regimens,mdr-tb,63,100
t5_s2,Treatment regimens,tb,57,90
t5_s2,Treatment regimens,treatment outcomes,21,33
t5_s2,Treatment regimens,multidrug-resistant,21,33
t5_s2,Treatment regimens,outcomes,16,25
t5_s2,Treatment regimens,xdr-tb,15,23
t5_s2,Treatment regimens,treatment,14,22
t5_s2,Treatment regimens,drug-resistance,12,19
t5_s2,Treatment regimens,linezolid,10,15
t5_s2,Treatment regimens,hiv,9,14
t5_s2,Treatment regimens,adverse events,7,11
t5_s2,Treatment regimens,diabetes mellitus,6,9
t5_s2,Treatment regimens,dst,6,9
t5_s2,Treatment regimens,m. tb,6,9
t5_s2,Treatment regimens,mortality,5,7
t5_s2,Treatment regimens,retreatment,5,7
t5_s2,Treatment regimens,drugs,4,6
t5_s2,Treatment regimens,drug-resistant tb,4,6
t5_s2,Treatment regimens,resistance,4,6
t5_s2,Treatment regimens,iran,3,4
t5_s3,Risk factors,tb,30,100
t5_s3,Risk factors,mdr-tb,26,86
t5_s3,Risk factors,treatment outcomes,13,43
t5_s3,Risk factors,hiv,12,40
t5_s3,Risk factors,risk-factors,9,30
t5_s3,Risk factors,multidrug-resistant,9,30
t5_s3,Risk factors,mortality,8,26
t5_s3,Risk factors,drug-resistance,8,26
t5_s3,Risk factors,xdr-tb,7,23
t5_s3,Risk factors,outcomes,5,16
t5_s3,Risk factors,south-africa,4,13
t5_s3,Risk factors,survival,4,13
t5_s3,Risk factors,drug-resistant tb,4,13
t5_s3,Risk factors,patient,3,10
t5_s3,Risk factors,human-immunodeficiency-virus,3,10
t5_s3,Risk factors,death,3,10
t5_s3,Risk factors,antiretroviral therapy,3,10
t5_s3,Risk factors,fluoroquinolones,2,6
t5_s3,Risk factors,survival rate,2,6
t5_s3,Risk factors,mdr,2,6
t5_s5,Resistance prevalence,tb,23,100
t5_s5,Resistance prevalence,mdr-tb,18,78
t5_s5,Resistance prevalence,drug-resistance,14,60
t5_s5,Resistance prevalence,multidrug-resistant,10,43
t5_s5,Resistance prevalence,hiv,7,30
t5_s5,Resistance prevalence,thailand,5,21
t5_s5,Resistance prevalence,risk-factors,4,17
t5_s5,Resistance prevalence,prevalence,4,17
t5_s5,Resistance prevalence,outcomes,3,13
t5_s5,Resistance prevalence,diabetes mellitus,3,13
t5_s5,Resistance prevalence,pulmonary tb,3,13
t5_s5,Resistance prevalence,dst,3,13
t5_s5,Resistance prevalence,m. tb,3,13
t5_s5,Resistance prevalence,diabetes,3,13
t5_s5,Resistance prevalence,china,3,13
t5_s5,Resistance prevalence,russia,2,8
t5_s5,Resistance prevalence,previously-treated,2,8
t5_s5,Resistance prevalence,prison,2,8
t5_s5,Resistance prevalence,immigration,2,8
t5_s5,Resistance prevalence,survey,2,8
