id_top,topic,keyword,number
t0,Molecular typing,m. tb,34
t0,Molecular typing,mdr-tb,34
t0,Molecular typing,tb,26
t0,Molecular typing,spoligotyping,19
t0,Molecular typing,multidrug-resistant,14
t0,Molecular typing,miru-vntr,11
t0,Molecular typing,drug-resistance,10
t0,Molecular typing,xdr-tb,9
t0,Molecular typing,molecular epidemiology,7
t0,Molecular typing,pyrazinamide,7
t0,Molecular typing,beijing genotype,6
t0,Molecular typing,genotyping,6
t0,Molecular typing,transmission,5
t0,Molecular typing,pnca,5
t0,Molecular typing,is6110-rflp,4
t0,Molecular typing,outbreak,4
t0,Molecular typing,rpob,4
t0,Molecular typing,brazil,3
t0,Molecular typing,bedaquiline,3
t0,Molecular typing,dot,3
t1,Drug-related research,mdr-tb,197
t1,Drug-related research,m. tb,180
t1,Drug-related research,tb,166
t1,Drug-related research,drug-resistance,67
t1,Drug-related research,xdr-tb,54
t1,Drug-related research,multidrug-resistant,54
t1,Drug-related research,antimycobacterial,43
t1,Drug-related research,activity,41
t1,Drug-related research,anti-tb,39
t1,Drug-related research,rifampicin,30
t1,Drug-related research,rpob,30
t1,Drug-related research,resistance,30
t1,Drug-related research,isoniazid,28
t1,Drug-related research,drugs,24
t1,Drug-related research,fluoroquinolones,15
t1,Drug-related research,pyrazinamide,14
t1,Drug-related research,mutations,14
t1,Drug-related research,second-line drugs,13
t1,Drug-related research,rifampicin resistance,13
t1,Drug-related research,gene,13
t2,Operational research,mdr-tb,153
t2,Operational research,tb,145
t2,Operational research,xdr-tb,52
t2,Operational research,drug-resistance,40
t2,Operational research,multidrug-resistant,33
t2,Operational research,epidemiology,26
t2,Operational research,m. tb,24
t2,Operational research,treatment,24
t2,Operational research,drugs,19
t2,Operational research,drug-resistant tb,19
t2,Operational research,hiv,17
t2,Operational research,children,15
t2,Operational research,surveillance,12
t2,Operational research,disease,11
t2,Operational research,infection control,10
t2,Operational research,transmission,10
t2,Operational research,diagnosis,9
t2,Operational research,south-africa,8
t2,Operational research,health-care workers,8
t2,Operational research,public health,7
t3,Diagnostics,mdr-tb,88
t3,Diagnostics,tb,86
t3,Diagnostics,m. tb,52
t3,Diagnostics,drug-resistance,29
t3,Diagnostics,rifampicin,27
t3,Diagnostics,xpert mtb/rif,27
t3,Diagnostics,multidrug-resistant,26
t3,Diagnostics,genotype mtbdrplus,18
t3,Diagnostics,dst,18
t3,Diagnostics,isoniazid,18
t3,Diagnostics,xdr-tb,16
t3,Diagnostics,line probe assay,16
t3,Diagnostics,diagnosis,16
t3,Diagnostics,rifampicin resistance,16
t3,Diagnostics,resistance,12
t3,Diagnostics,rpob,12
t3,Diagnostics,molecular diagnosis,9
t3,Diagnostics,mods,8
t3,Diagnostics,drug-resistant tb,8
t3,Diagnostics,pulmonary tb,6
t5,Treatment optimization,tb,343
t5,Treatment optimization,mdr-tb,343
t5,Treatment optimization,drug-resistance,117
t5,Treatment optimization,multidrug-resistant,113
t5,Treatment optimization,xdr-tb,65
t5,Treatment optimization,hiv,56
t5,Treatment optimization,treatment outcomes,55
t5,Treatment optimization,m. tb,54
t5,Treatment optimization,treatment,43
t5,Treatment optimization,drug-resistant tb,37
t5,Treatment optimization,risk-factors,33
t5,Treatment optimization,epidemiology,28
t5,Treatment optimization,outcomes,26
t5,Treatment optimization,resistance,23
t5,Treatment optimization,drugs,22
t5,Treatment optimization,pulmonary tb,21
t5,Treatment optimization,dst,21
t5,Treatment optimization,south-africa,18
t5,Treatment optimization,linezolid,17
t5,Treatment optimization,second-line drugs,15
t6,Immunology,mdr-tb,32
t6,Immunology,tb,27
t6,Immunology,m. tb,13
t6,Immunology,multidrug-resistant,7
t6,Immunology,interferon-gamma,6
t6,Immunology,cytokines,5
t6,Immunology,antibiotic,4
t6,Immunology,drugs,4
t6,Immunology,immunotherapy,4
t6,Immunology,spray drying,4
t6,Immunology,t cells,3
t6,Immunology,il-12,3
t6,Immunology,biomarkers,3
t6,Immunology,tumor necrosis factor-alpha,3
t6,Immunology,ethionamide,3
t6,Immunology,ifn-gamma,3
t6,Immunology,il-10,3
t6,Immunology,tnf-alpha,3
t6,Immunology,delivery,3
t6,Immunology,fluoroquinolones,2
