id_top,topic,keyword,number
t5_s2,Treatment regimens,mdr-tb,63
t5_s2,Treatment regimens,tb,57
t5_s2,Treatment regimens,treatment outcomes,21
t5_s2,Treatment regimens,multidrug-resistant,21
t5_s2,Treatment regimens,outcomes,16
t5_s2,Treatment regimens,xdr-tb,15
t5_s2,Treatment regimens,treatment,14
t5_s2,Treatment regimens,drug-resistance,12
t5_s2,Treatment regimens,linezolid,10
t5_s2,Treatment regimens,hiv,9
t5_s2,Treatment regimens,adverse events,7
t5_s2,Treatment regimens,diabetes mellitus,6
t5_s2,Treatment regimens,dst,6
t5_s2,Treatment regimens,m. tb,6
t5_s2,Treatment regimens,mortality,5
t5_s2,Treatment regimens,retreatment,5
t5_s2,Treatment regimens,drugs,4
t5_s2,Treatment regimens,drug-resistant tb,4
t5_s2,Treatment regimens,resistance,4
t5_s2,Treatment regimens,iran,3
t5_s3,Risk factors,tb,30
t5_s3,Risk factors,mdr-tb,26
t5_s3,Risk factors,treatment outcomes,13
t5_s3,Risk factors,hiv,12
t5_s3,Risk factors,risk-factors,9
t5_s3,Risk factors,multidrug-resistant,9
t5_s3,Risk factors,mortality,8
t5_s3,Risk factors,drug-resistance,8
t5_s3,Risk factors,xdr-tb,7
t5_s3,Risk factors,outcomes,5
t5_s3,Risk factors,south-africa,4
t5_s3,Risk factors,survival,4
t5_s3,Risk factors,drug-resistant tb,4
t5_s3,Risk factors,patient,3
t5_s3,Risk factors,human-immunodeficiency-virus,3
t5_s3,Risk factors,death,3
t5_s3,Risk factors,antiretroviral therapy,3
t5_s3,Risk factors,fluoroquinolones,2
t5_s3,Risk factors,survival rate,2
t5_s3,Risk factors,mdr,2
t5_s5,Resistance prevalence,tb,23
t5_s5,Resistance prevalence,mdr-tb,18
t5_s5,Resistance prevalence,drug-resistance,14
t5_s5,Resistance prevalence,multidrug-resistant,10
t5_s5,Resistance prevalence,hiv,7
t5_s5,Resistance prevalence,thailand,5
t5_s5,Resistance prevalence,risk-factors,4
t5_s5,Resistance prevalence,prevalence,4
t5_s5,Resistance prevalence,outcomes,3
t5_s5,Resistance prevalence,diabetes mellitus,3
t5_s5,Resistance prevalence,pulmonary tb,3
t5_s5,Resistance prevalence,dst,3
t5_s5,Resistance prevalence,m. tb,3
t5_s5,Resistance prevalence,diabetes,3
t5_s5,Resistance prevalence,china,3
t5_s5,Resistance prevalence,russia,2
t5_s5,Resistance prevalence,previously-treated,2
t5_s5,Resistance prevalence,prison,2
t5_s5,Resistance prevalence,immigration,2
t5_s5,Resistance prevalence,survey,2
