"id_top"	"id"	"name"	"wdegree"	"publications"	"rank_year_cited_pubmed_title"	"ids"
"127"	"au7721x_ras"	"Rastogi, N"	"61"	"15"	"[[11,2003,24,12574269,""Molecular characterization and drug resistance patterns of s""],[10,2002,39,12066892,""Molecular characterization of multiple-drug-resistant Mycoba""],[8,2010,8,20362076,""First case of multidrug-resistant tuberculosis caused by a r""],[1,1996,100,8672093,""In vitro activities of fourteen antimicrobial agents against""],[9,2014,0,null,""A Systematic Follow-Up of Mycobacterium tuberculosis Drug-Re""],[4,2008,17,18657631,""Molecular snapshot of drug-resistant and drug-susceptible My""],[7,2006,37,16621726,""rpoB gene sequencing and spoligotyping of multidrug-resistan""],[4,2010,23,20810763,""Spoligotype-Based Comparative Population Structure Analysis ""],[9,2012,14,21989209,""The population structure of drug-resistant Mycobacterium tub""],[2,2013,15,23333775,""Genetic diversity among multidrug-resistant Mycobacterium tu""],[3,2014,8,25109724,""A study of Mycobacterium tuberculosis genotypic diversity  d""],[2,2014,6,25489950,""Characterization of the Genetic Diversity of Extensively-Dru""],[4,2014,13,24363208,""Treatment outcomes of multidrug-resistant tuberculosis patie""],[3,2013,40,23554196,""Epidemic Spread of Multidrug-Resistant Tuberculosis in Johan""],[13,2017,0,27418234,""Molecular epidemiology of Mycobacterium tuberculosis in Baja""]]"	"[""10.1128_JCM.41.2.694_702.2003"",""10.1016_S0923_2508_02_01311_6"",""10.1016_j.meegid.2010.03.010"",""10.1007_s002849900095"",""10.1155_2014_689852"",""10.1016_j.meegid.2008.06.006"",""10.1016_j.meegid.2006.03.001"",""10.1128_JCM.00572_10"",""10.1016_j.meegid.2011.09.022"",""10.1016_j.meegid.2012.12.024"",""pub-0792"",""10.1371_journal.pone.0112789"",""10.1007_s15010_013_0572_2"",""10.1128_JCM.00200_13"",""10.1016_j.meegid.2016.07.001""]"
"127"	"au8886x_sol"	"Sola, C"	"46"	"10"	"[[2,2003,24,12574269,""Molecular characterization and drug resistance patterns of s""],[4,2002,39,12066892,""Molecular characterization of multiple-drug-resistant Mycoba""],[6,2017,0,28446574,""Use of GeneXpert Remnants for Drug Resistance Profiling and ""],[10,2017,0,29091137,""Correlation between the BACTEC MGIT 960 culture system with ""],[9,2013,20,23966495,""Tuberculosis-Spoligo-Rifampin-Isoniazid Typing: an All-in-On""],[13,2012,15,22723859,""A Molecular Epidemiological and Genetic Diversity Study of T""],[10,2015,7,26231661,""Genetic diversity and molecular epidemiology of multidrug-re""],[5,2014,6,24981519,""Multi-drug resistant Mycobacterium tuberculosis complex gene""],[7,2009,13,19279172,""First Insight into Genetic Diversity of the Mycobacterium tu""],[6,2006,37,16621726,""rpoB gene sequencing and spoligotyping of multidrug-resistan""]]"	"[""10.1128_JCM.41.2.694_702.2003"",""10.1016_S0923_2508_02_01311_6"",""10.1128_JCM.02257_16"",""10.1590_0074_02760170062"",""10.1128_JCM.01523_13"",""10.1371_journal.pone.0038409"",""10.1186_s12879_015_1057_y"",""10.1016_j.meegid.2014.06.017"",""10.1128_JCM.02284_08"",""10.1016_j.meegid.2006.03.001""]"
"127"	"au6338x_mok"	"Mokrousov, I"	"43"	"7"	"[[1,2003,73,12821473,""Allele-specific rpoB PCR assays for detection of rifampin-re""],[1,2002,39,12066892,""Molecular characterization of multiple-drug-resistant Mycoba""],[2,2008,17,18657631,""Molecular snapshot of drug-resistant and drug-susceptible My""],[2,2015,9,25645851,""Tuberculous Spondylitis in Russia and Prominent Role of Mult""],[2,2015,5,26076582,""Molecular snapshot of Mycobacterium tuberculosis population ""],[1,2012,25,22844457,""Mycobacterium tuberculosis Population in Northwestern Russia""],[1,2015,8,26679959,""Trends in molecular epidemiology of drug-resistant tuberculo""]]"	"[""10.1128_AAC.47.7.2231_2235.2003"",""10.1016_S0923_2508_02_01311_6"",""10.1016_j.meegid.2008.06.006"",""10.1128_AAC.04221_14"",""10.1016_j.tube.2015.04.012"",""10.1371_journal.pone.0041318"",""10.1186_s12866_015_0613_3""]"
"127"	"au0402x_anu"	"Anupurba, S"	"39"	"9"	"[[6,2016,2,27441660,""Rapid Screening of MDR-TB in Cases of Extra Pulmonary Tuberc""],[6,2013,3,23999345,""Primary and acquired drug resistance patterns of Mycobacteri""],[2,2017,0,28631643,""Multidrug-resistant tuberculosis detection and characterizat""],[4,2014,8,25109724,""A study of Mycobacterium tuberculosis genotypic diversity  d""],[4,2013,14,23325741,""Rapid Genotypic Detection of rpoB and katG Gene Mutations in""],[2,2010,3,21252446,""Direct drug susceptibility testing of Mycobacterium tubercul""],[5,2011,9,22283032,""Antitubercular Drug Resistance in Four Healthcare Facilities""],[7,2014,0,25008819,""Association of MDR-TB isolates with clinical characteristics""],[3,2015,1,26068341,""Mutations at embB306 codon and their association with multid""]]"	"[""10.1371_journal.pone.0159651"",""10.1016_j.jiph.2013.03.003"",""10.4103_IJPM.IJPM_53_16"",""pub-0792"",""10.1002_jcla.21558"",""pub-1434"",""pub-1282"",""10.4103_0255_0857.136561"",""10.4103_0255_0857.158560""]"
"127"	"au6691x_nar"	"Narvskaya, O"	"39"	"6"	"[[4,2003,73,12821473,""Allele-specific rpoB PCR assays for detection of rifampin-re""],[9,2002,39,12066892,""Molecular characterization of multiple-drug-resistant Mycoba""],[3,2008,17,18657631,""Molecular snapshot of drug-resistant and drug-susceptible My""],[8,2015,9,25645851,""Tuberculous Spondylitis in Russia and Prominent Role of Mult""],[9,2012,25,22844457,""Mycobacterium tuberculosis Population in Northwestern Russia""],[14,2015,8,26679959,""Trends in molecular epidemiology of drug-resistant tuberculo""]]"	"[""10.1128_AAC.47.7.2231_2235.2003"",""10.1016_S0923_2508_02_01311_6"",""10.1016_j.meegid.2008.06.006"",""10.1128_AAC.04221_14"",""10.1371_journal.pone.0041318"",""10.1186_s12866_015_0613_3""]"
"127"	"au5065x_law"	"Lawson, L"	"29"	"3"	"[[1,2011,8,21564425,""Resistance to first-line tuberculosis drugs in three cities ""],[10,2014,13,24722139,""Intensive-Phase Treatment Outcomes among Hospitalized Multid""],[1,2012,15,22723859,""A Molecular Epidemiological and Genetic Diversity Study of T""]]"	"[""10.1111_j.1365_3156.2011.02792.x"",""10.1371_journal.pone.0094393"",""10.1371_journal.pone.0038409""]"
"127"	"au1879x_cue"	"Cuevas, LE"	"27"	"3"	"[[14,2011,8,21564425,""Resistance to first-line tuberculosis drugs in three cities ""],[11,2014,13,24722139,""Intensive-Phase Treatment Outcomes among Hospitalized Multid""],[12,2012,15,22723859,""A Molecular Epidemiological and Genetic Diversity Study of T""]]"	"[""10.1111_j.1365_3156.2011.02792.x"",""10.1371_journal.pone.0094393"",""10.1371_journal.pone.0038409""]"
"127"	"au9288x_tei"	"Dantas, NGT"	"22"	"2"	"[[1,2015,7,26231661,""Genetic diversity and molecular epidemiology of multidrug-re""],[1,2017,0,29091137,""Correlation between the BACTEC MGIT 960 culture system with ""]]"	"[""10.1186_s12879_015_1057_y"",""10.1590_0074_02760170062""]"
"127"	"au2115x_dem"	"de Miranda, SS"	"22"	"2"	"[[11,2015,7,26231661,""Genetic diversity and molecular epidemiology of multidrug-re""],[11,2017,0,29091137,""Correlation between the BACTEC MGIT 960 culture system with ""]]"	"[""10.1186_s12879_015_1057_y"",""10.1590_0074_02760170062""]"
"127"	"au0535x_avo"	"Avong, YK"	"19"	"1"	"[[1,2015,4,25781958,""Doing No Harm Adverse Events in a Nation-Wide Cohort of Pati""]]"	"[""10.1371_journal.pone.0120161""]"
