cid	cited	name	pid	pubmed	tid	title	year	last_name
ZAUNBRECHER MA 2009 P NATL ACAD SCI USA	140	Drug research	10.1073_pnas.0907925106	19906990.0	t1	Overexpression of the chromosomally encoded aminoglycoside a	2009	ZAUNBRECHER
RASTOGI N 1996 CURR MICROBIOL	100	Drug research	10.1007_s002849900095	8672093.0	t1	In vitro activities of fourteen antimicrobial agents against	1996	RASTOGI
JIMENEZARELLANES A 2003 PHYTOTHER RES	94	Drug research	10.1002_ptr.1377	13680821.0	t1	Activity against multidrug-resistant Mycobacterium tuberculo	2003	JIMENEZARELLANES
JUGHELI L 2009 ANTIMICROB AGENTS CH	91	Drug research	10.1128_AAC.00851_09	19752274.0	t1	High Level of Cross-Resistance between Kanamycin Amikacin an	2009	JUGHELI
MACHADO D 2012 PLOS ONE	90	Drug research	10.1371_journal.pone.0034538	22493700.0	t1	Contribution of Efflux to the Emergence of Isoniazid and Mul	2012	MACHADO
DE SOUZA MVN 2009 BIOORGAN MED CHEM	81	Drug research	10.1016_j.bmc.2009.01.013	19188070.0	t1	Synthesis and in vitro antitubercular activity of a series o	2009	DE
CHAN RCY 2007 J ANTIMICROB CHEMOTH	75	Drug research	10.1093_jac_dkm054	17360809.0	t1	Genetic and phenotypic characterization of drug-resistant My	2007	CHAN
MORASKI GC 2011 ACS MED CHEM LETT	75	Drug research	10.1021_ml200036r	21691438.0	t1	Advent of Imidazo12-apyridine-3-carboxamides with Potent Mul	2011	MORASKI
SRIRAM D 2006 BIOORG MED CHEM LETT	66	Drug research	10.1016_j.bmcl.2006.02.065	16554151.0	t1	Gatifloxacin derivatives: Synthesis antimycobacterial activi	2006	SRIRAM
MALIK S 2012 PLOS ONE	64	Drug research	10.1371_journal.pone.0039754	22761889.0	t1	New Insights into Fluoroquinolone Resistance in Mycobacteriu	2012	MALIK
SRIRAM D 2006 J MED CHEM	56	Drug research	10.1021_jm060339h	16759086.0	t1	Discovery of new antitubercular oxazolyl thiosemicarbazones	2006	SRIRAM
MORASKI GC 2012 BIOORGAN MED CHEM	51	Drug research	10.1016_j.bmc.2012.02.025	22391032.0	t1	Generation and exploration of new classes of antitubercular 	2012	MORASKI
BIAVA M 2009 EUR J MED CHEM	43	Drug research	10.1016_j.ejmech.2009.06.005	19595488.0	t1	15-Diaryl-2-ethyl pyrrole derivatives as antimycobacterial a	2009	BIAVA
SOOD R 2005 INT J ANTIMICROB AG	40	Drug research	10.1016_j.ijantimicag.2005.01.021	15885988.0	t1	Activity of RBx 7644 and RBx 8700 new investigational oxazol	2005	SOOD
DIAS MVB 2007 J STRUCT BIOL	37	Drug research	10.1016_j.jsb.2007.04.009	17588773.0	t1	Crystallographic studies on the binding of isonicotinyl-NAD 	2007	DIAS
REEVES AZ 2013 ANTIMICROB AGENTS CH	37	Drug research	10.1128_AAC.02191_12	23380727.0	t1	Aminoglycoside Cross-Resistance in Mycobacterium tuberculosi	2013	REEVES
SRIRAM D 2007 J MED CHEM	36	Drug research	10.1021_jm700999n	17960928.0	t1	Antimycobacterial activities of novel 1-Cyclopropyl/tert-but	2007	SRIRAM
DINAKARAN M 2008 BIOORG MED CHEM LETT	36	Drug research	10.1016_j.bmcl.2007.11.110	18068979.0	t1	Novel ofloxacin derivatives: Synthesis antimycobacterial and	2008	DINAKARAN
RAI D 2007 J MED CHEM	35	Drug research	10.1021_jm070391t	17696514.0	t1	Inhibition of Mycobacterium tuberculosis Mycobacterium bovis	2007	RAI
SENTHILKUMAR P 2009 EUR J MED CHEM	33	Drug research	10.1016_j.ejmech.2008.02.031	18502542.0	t1	Synthesis and antimycobacterial activities of novel 6-nitroq	2009	SENTHILKUMAR
ABUBAKAR I 2013 LANCET INFECT DIS	143	Public health	10.1016_S1473_3099_13_70030_6	23531391.0	t2	Tuberculosis 2013:5 Drug-resistant tuberculosis: time for vi	2013	ABUBAKAR
HAYWARD AC 2003 INT J TUBERC LUNG D	39	Public health	pub-1944	12921151.0	t2	Epidemiology and control of tuberculosis in Western European	2003	HAYWARD
